asthma_COUNTY,asthma_YEAR,asthma_STRATA,asthma_STRATA NAME,asthma_AGE GROUP,asthma_NUMBER OF ED VISITS,asthma_AGE-ADJUSTED ED VISIT RATE,asthma_COMMENT,aqi_State,aqi_County,aqi_Year,aqi_Days with AQI,aqi_Good Days,aqi_Moderate Days,aqi_Unhealthy for Sensitive Groups Days,aqi_Unhealthy Days,aqi_Very Unhealthy Days,aqi_Hazardous Days,aqi_Max AQI,aqi_90th Percentile AQI,aqi_Median AQI,aqi_Days CO,aqi_Days NO2,aqi_Days Ozone,aqi_Days PM2.5,aqi_Days PM10
Merced,2015,Child vs. adult,0-17 years,0-17 years,1110,139.8,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Merced,2015,Child vs. adult,0-17 years,0-17 years,1110,139.8,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Merced,2015,Child vs. adult,0-17 years,0-17 years,1110,139.8,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Merced,2015,Child vs. adult,0-17 years,0-17 years,1110,139.8,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Merced,2015,Child vs. adult,0-17 years,0-17 years,1110,139.8,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Mono,2015,Child vs. adult,0-17 years,0-17 years,16,52.7,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Mono,2015,Child vs. adult,0-17 years,0-17 years,16,52.7,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Mono,2015,Child vs. adult,0-17 years,0-17 years,16,52.7,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Mono,2015,Child vs. adult,0-17 years,0-17 years,16,52.7,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Mono,2015,Child vs. adult,0-17 years,0-17 years,16,52.7,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Monterey,2015,Child vs. adult,0-17 years,0-17 years,970,84.2,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Monterey,2015,Child vs. adult,0-17 years,0-17 years,970,84.2,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Monterey,2015,Child vs. adult,0-17 years,0-17 years,970,84.2,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Monterey,2015,Child vs. adult,0-17 years,0-17 years,970,84.2,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Monterey,2015,Child vs. adult,0-17 years,0-17 years,970,84.2,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Napa,2015,Child vs. adult,0-17 years,0-17 years,190,62.5,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Napa,2015,Child vs. adult,0-17 years,0-17 years,190,62.5,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Napa,2015,Child vs. adult,0-17 years,0-17 years,190,62.5,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Napa,2015,Child vs. adult,0-17 years,0-17 years,190,62.5,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Napa,2015,Child vs. adult,0-17 years,0-17 years,190,62.5,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Nevada,2015,Child vs. adult,0-17 years,0-17 years,79,47.9,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Nevada,2015,Child vs. adult,0-17 years,0-17 years,79,47.9,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Nevada,2015,Child vs. adult,0-17 years,0-17 years,79,47.9,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Nevada,2015,Child vs. adult,0-17 years,0-17 years,79,47.9,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Nevada,2015,Child vs. adult,0-17 years,0-17 years,79,47.9,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Orange,2015,Child vs. adult,0-17 years,0-17 years,4279,59.7,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Orange,2015,Child vs. adult,0-17 years,0-17 years,4279,59.7,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Orange,2015,Child vs. adult,0-17 years,0-17 years,4279,59.7,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Orange,2015,Child vs. adult,0-17 years,0-17 years,4279,59.7,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Orange,2015,Child vs. adult,0-17 years,0-17 years,4279,59.7,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Placer,2015,Child vs. adult,0-17 years,0-17 years,337,41.5,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Placer,2015,Child vs. adult,0-17 years,0-17 years,337,41.5,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Placer,2015,Child vs. adult,0-17 years,0-17 years,337,41.5,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Placer,2015,Child vs. adult,0-17 years,0-17 years,337,41.5,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Placer,2015,Child vs. adult,0-17 years,0-17 years,337,41.5,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Plumas,2015,Child vs. adult,0-17 years,0-17 years,21,65.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Plumas,2015,Child vs. adult,0-17 years,0-17 years,21,65.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Plumas,2015,Child vs. adult,0-17 years,0-17 years,21,65.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Plumas,2015,Child vs. adult,0-17 years,0-17 years,21,65.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Plumas,2015,Child vs. adult,0-17 years,0-17 years,21,65.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Riverside,2015,Child vs. adult,0-17 years,0-17 years,3917,64.9,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Riverside,2015,Child vs. adult,0-17 years,0-17 years,3917,64.9,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Riverside,2015,Child vs. adult,0-17 years,0-17 years,3917,64.9,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Riverside,2015,Child vs. adult,0-17 years,0-17 years,3917,64.9,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Riverside,2015,Child vs. adult,0-17 years,0-17 years,3917,64.9,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Sacramento,2015,Child vs. adult,0-17 years,0-17 years,3285,90.8,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
Sacramento,2015,Child vs. adult,0-17 years,0-17 years,3285,90.8,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
Sacramento,2015,Child vs. adult,0-17 years,0-17 years,3285,90.8,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
Sacramento,2015,Child vs. adult,0-17 years,0-17 years,3285,90.8,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
Sacramento,2015,Child vs. adult,0-17 years,0-17 years,3285,90.8,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
San Benito,2015,Child vs. adult,0-17 years,0-17 years,115,76.6,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Benito,2015,Child vs. adult,0-17 years,0-17 years,115,76.6,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Benito,2015,Child vs. adult,0-17 years,0-17 years,115,76.6,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Benito,2015,Child vs. adult,0-17 years,0-17 years,115,76.6,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Benito,2015,Child vs. adult,0-17 years,0-17 years,115,76.6,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Bernardino,2015,Child vs. adult,0-17 years,0-17 years,5019,87.7,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Bernardino,2015,Child vs. adult,0-17 years,0-17 years,5019,87.7,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Bernardino,2015,Child vs. adult,0-17 years,0-17 years,5019,87.7,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Bernardino,2015,Child vs. adult,0-17 years,0-17 years,5019,87.7,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Bernardino,2015,Child vs. adult,0-17 years,0-17 years,5019,87.7,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Diego,2015,Child vs. adult,0-17 years,0-17 years,4616,62.1,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Diego,2015,Child vs. adult,0-17 years,0-17 years,4616,62.1,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Diego,2015,Child vs. adult,0-17 years,0-17 years,4616,62.1,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Diego,2015,Child vs. adult,0-17 years,0-17 years,4616,62.1,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Diego,2015,Child vs. adult,0-17 years,0-17 years,4616,62.1,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Francisco,2015,Child vs. adult,0-17 years,0-17 years,850,64.9,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Francisco,2015,Child vs. adult,0-17 years,0-17 years,850,64.9,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Francisco,2015,Child vs. adult,0-17 years,0-17 years,850,64.9,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Francisco,2015,Child vs. adult,0-17 years,0-17 years,850,64.9,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Francisco,2015,Child vs. adult,0-17 years,0-17 years,850,64.9,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Joaquin,2015,Child vs. adult,0-17 years,0-17 years,1868,95.1,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Joaquin,2015,Child vs. adult,0-17 years,0-17 years,1868,95.1,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Joaquin,2015,Child vs. adult,0-17 years,0-17 years,1868,95.1,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Joaquin,2015,Child vs. adult,0-17 years,0-17 years,1868,95.1,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Joaquin,2015,Child vs. adult,0-17 years,0-17 years,1868,95.1,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Luis Obispo,2015,Child vs. adult,0-17 years,0-17 years,321,65,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Luis Obispo,2015,Child vs. adult,0-17 years,0-17 years,321,65,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Luis Obispo,2015,Child vs. adult,0-17 years,0-17 years,321,65,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Luis Obispo,2015,Child vs. adult,0-17 years,0-17 years,321,65,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Luis Obispo,2015,Child vs. adult,0-17 years,0-17 years,321,65,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Mateo,2015,Child vs. adult,0-17 years,0-17 years,826,49.5,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
San Mateo,2015,Child vs. adult,0-17 years,0-17 years,826,49.5,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
San Mateo,2015,Child vs. adult,0-17 years,0-17 years,826,49.5,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
San Mateo,2015,Child vs. adult,0-17 years,0-17 years,826,49.5,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
San Mateo,2015,Child vs. adult,0-17 years,0-17 years,826,49.5,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
Santa Barbara,2015,Child vs. adult,0-17 years,0-17 years,689,70,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Barbara,2015,Child vs. adult,0-17 years,0-17 years,689,70,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Barbara,2015,Child vs. adult,0-17 years,0-17 years,689,70,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Barbara,2015,Child vs. adult,0-17 years,0-17 years,689,70,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Barbara,2015,Child vs. adult,0-17 years,0-17 years,689,70,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Clara,2015,Child vs. adult,0-17 years,0-17 years,1976,44.1,,California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
Santa Clara,2015,Child vs. adult,0-17 years,0-17 years,1976,44.1,,California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
Santa Clara,2015,Child vs. adult,0-17 years,0-17 years,1976,44.1,,California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
Santa Clara,2015,Child vs. adult,0-17 years,0-17 years,1976,44.1,,California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
Santa Cruz,2015,Child vs. adult,0-17 years,0-17 years,343,60.8,,California,Santa Cruz,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,111,0
Santa Cruz,2015,Child vs. adult,0-17 years,0-17 years,343,60.8,,California,Santa Cruz,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,111,0
Shasta,2015,Child vs. adult,0-17 years,0-17 years,300,78.1,,California,Shasta,2015,365,256,96,12,1,0,0,156,84,44,0,0,354,11,0
Siskiyou,2015,Child vs. adult,0-17 years,0-17 years,43,50.4,,California,Siskiyou,2015,362,334,24,4,0,0,0,139,48,36,0,0,343,17,2
Solano,2015,Child vs. adult,0-17 years,0-17 years,1141,119.4,,California,Solano,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,157,1
Sonoma,2015,Child vs. adult,0-17 years,0-17 years,586,56.9,,California,Sonoma,2015,365,321,44,0,0,0,0,88,53,35,0,1,267,94,3
Stanislaus,2015,Child vs. adult,0-17 years,0-17 years,1236,85.8,,California,Stanislaus,2015,365,127,190,43,5,0,0,187,112,59,0,0,202,154,9
Sutter,2015,Child vs. adult,0-17 years,0-17 years,121,47.5,,California,Sutter,2015,365,194,163,8,0,0,0,119,84,49,1,2,233,129,0
Tehama,2015,Child vs. adult,0-17 years,0-17 years,128,85.3,,California,Tehama,2015,365,231,115,18,1,0,0,153,87,45,0,0,311,52,2
Tulare,2015,Child vs. adult,0-17 years,0-17 years,1264,85.5,,California,Tulare,2015,365,50,217,78,20,0,0,170,143,78,0,0,206,154,5
Tuolumne,2015,Child vs. adult,0-17 years,0-17 years,54,60.9,,California,Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0
Ventura,2015,Child vs. adult,0-17 years,0-17 years,1271,62.7,,California,Ventura,2015,365,183,169,13,0,0,0,126,84,50,0,4,226,131,4
Yolo,2015,Child vs. adult,0-17 years,0-17 years,291,67.7,,California,Yolo,2015,365,236,125,4,0,0,0,103,75,44,0,2,230,133,0
Alameda,2015,Child vs. adult,18+ years,18+ years,6513,53.1,,California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0
Alpine,2015,Child vs. adult,18+ years,18+ years,0,0,,California,Alpine,2015,31,1,14,13,3,0,0,170,149,102,0,0,0,31,0
Amador,2015,Child vs. adult,18+ years,18+ years,151,49.1,,California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0
Butte,2015,Child vs. adult,18+ years,18+ years,736,43.8,,California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1
Calaveras,2015,Child vs. adult,18+ years,18+ years,139,42.7,,California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0
Colusa,2015,Child vs. adult,18+ years,18+ years,49,29,,California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3
Contra Costa,2015,Child vs. adult,18+ years,18+ years,4528,54.8,,California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0
Del Norte,2015,Child vs. adult,18+ years,18+ years,91,41.9,,California,Del Norte,2015,114,106,8,0,0,0,0,69,39,15,0,0,0,114,0
El Dorado,2015,Child vs. adult,18+ years,18+ years,422,32.8,,California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10
Fresno,2015,Child vs. adult,18+ years,18+ years,3454,49.5,,California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5
Glenn,2015,Child vs. adult,18+ years,18+ years,83,39.4,,California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23
Humboldt,2015,Child vs. adult,18+ years,18+ years,682,64.8,,California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6
Imperial,2015,Child vs. adult,18+ years,18+ years,651,47.2,,California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86
Inyo,2015,Child vs. adult,18+ years,18+ years,55,40.1,,California,Inyo,2015,365,203,141,12,6,0,3,1383,90,48,0,0,286,29,50
Kern,2015,Child vs. adult,18+ years,18+ years,3293,50.3,,California,Kern,2015,365,44,199,93,28,1,0,201,146,84,0,1,231,129,4
Kings,2015,Child vs. adult,18+ years,18+ years,635,56.1,,California,Kings,2015,365,90,205,60,10,0,0,174,119,71,0,0,197,131,37
Lake,2015,Child vs. adult,18+ years,18+ years,363,76.9,,California,Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,361,2,0
Los Angeles,2015,Child vs. adult,18+ years,18+ years,31687,40.8,,California,Los Angeles,2015,365,26,207,95,36,1,0,203,151,79,0,25,189,149,2
Madera,2015,Child vs. adult,18+ years,18+ years,445,37.7,,California,Madera,2015,365,109,209,43,4,0,0,154,105,63,0,0,223,127,15
Marin,2015,Child vs. adult,18+ years,18+ years,374,18.3,,California,Marin,2015,365,285,78,2,0,0,0,103,61,36,1,16,178,169,1
Mariposa,2015,Child vs. adult,18+ years,18+ years,69,51.8,,California,Mariposa,2015,365,239,115,6,4,1,0,215,84,46,0,0,327,29,9
Mendocino,2015,Child vs. adult,18+ years,18+ years,349,53.4,,California,Mendocino,2015,365,302,59,2,2,0,0,160,55,38,0,0,136,229,0
Merced,2015,Child vs. adult,18+ years,18+ years,1315,69.2,,California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
Mono,2015,Child vs. adult,18+ years,18+ years,27,24.8,,California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
Monterey,2015,Child vs. adult,18+ years,18+ years,1224,38.3,,California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
Napa,2015,Child vs. adult,18+ years,18+ years,382,34.7,,California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
Nevada,2015,Child vs. adult,18+ years,18+ years,272,41,,California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
Orange,2015,Child vs. adult,18+ years,18+ years,5996,24.9,,California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
Placer,2015,Child vs. adult,18+ years,18+ years,788,27.9,,California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
Plumas,2015,Child vs. adult,18+ years,18+ years,78,53.2,,California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
Riverside,2015,Child vs. adult,18+ years,18+ years,6194,35.7,,California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
Sacramento,2015,Child vs. adult,18+ years,18+ years,6824,61.7,,California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
San Benito,2015,Child vs. adult,18+ years,18+ years,170,40.9,,California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
San Bernardino,2015,Child vs. adult,18+ years,18+ years,7742,49.5,,California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
San Diego,2015,Child vs. adult,18+ years,18+ years,7030,28.3,,California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
San Francisco,2015,Child vs. adult,18+ years,18+ years,2291,33,,California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
San Joaquin,2015,Child vs. adult,18+ years,18+ years,2934,56.2,,California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
San Luis Obispo,2015,Child vs. adult,18+ years,18+ years,629,31.4,,California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
San Mateo,2015,Child vs. adult,18+ years,18+ years,1869,31.9,,California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
Santa Barbara,2015,Child vs. adult,18+ years,18+ years,1045,30.5,,California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
Santa Clara,2015,Child vs. adult,18+ years,18+ years,4545,31.9,,California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
Santa Cruz,2015,Child vs. adult,18+ years,18+ years,567,28.1,,California,Santa Cruz,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,111,0
Shasta,2015,Child vs. adult,18+ years,18+ years,715,54.4,,California,Shasta,2015,365,256,96,12,1,0,0,156,84,44,0,0,354,11,0
Siskiyou,2015,Child vs. adult,18+ years,18+ years,133,45.8,,California,Siskiyou,2015,362,334,24,4,0,0,0,139,48,36,0,0,343,17,2
Solano,2015,Child vs. adult,18+ years,18+ years,2274,70.7,,California,Solano,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,157,1
Sonoma,2015,Child vs. adult,18+ years,18+ years,1350,34.4,,California,Sonoma,2015,365,321,44,0,0,0,0,88,53,35,0,1,267,94,3
